"Time (s)","Illuminance (lx)"
3.184269774E1,9.900000000E1
3.202267374E1,9.400000000E1
3.220265274E1,9.100000000E1
3.238263574E1,9.000000000E1
3.256261674E1,9.100000000E1
3.274259274E1,9.300000000E1
3.292257074E1,9.500000000E1
3.328252674E1,9.700000000E1
3.346250674E1,1.020000000E2
3.364248474E1,1.060000000E2
3.382247316E1,1.070000000E2
3.400244916E1,1.120000000E2
3.418242816E1,1.140000000E2
3.436240516E1,1.100000000E2
3.454239116E1,1.070000000E2
3.472237016E1,1.020000000E2
3.490234816E1,9.800000000E1
3.508232516E1,9.700000000E1
3.544228016E1,9.500000000E1
3.562226516E1,9.300000000E1
3.580224416E1,9.400000000E1
3.616219916E1,9.000000000E1
3.634217716E1,8.400000000E1
3.652215416E1,8.800000000E1
3.670213616E1,9.500000000E1
3.706209016E1,9.200000000E1
3.724206716E1,9.000000000E1
3.742204516E1,9.500000000E1
3.760202216E1,1.070000000E2
3.778200816E1,1.140000000E2
3.796205031E1,1.160000000E2
3.832200531E1,1.180000000E2
3.850198331E1,1.190000000E2
3.868196031E1,1.170000000E2
3.886194131E1,1.150000000E2
3.904191831E1,1.170000000E2
3.922189531E1,1.050000000E2
3.940187331E1,1.000000000E2
3.958184931E1,1.030000000E2
3.976182831E1,1.010000000E2
3.994181531E1,9.200000000E1
4.012179331E1,8.900000000E1
4.030177031E1,8.400000000E1
4.048174831E1,8.600000000E1
4.066172431E1,9.000000000E1
4.084170331E1,9.800000000E1
4.102167373E1,1.040000000E2
4.120165173E1,1.080000000E2
4.156160673E1,1.090000000E2
4.174158273E1,1.060000000E2
4.192156173E1,1.020000000E2
4.210154173E1,8.400000000E1
4.228151973E1,7.600000000E1
4.246149673E1,7.900000000E1
4.264147473E1,8.400000000E1
4.282145073E1,8.300000000E1
4.300142973E1,8.200000000E1
4.318141573E1,8.000000000E1
4.354136973E1,8.900000000E1
4.372134673E1,9.300000000E1
4.390132473E1,1.020000000E2
4.408130173E1,1.090000000E2
4.426128373E1,1.130000000E2
4.444125973E1,1.110000000E2
4.462123873E1,1.050000000E2
4.480121473E1,9.500000000E1
4.498119273E1,9.300000000E1
4.516125807E1,9.700000000E1
4.534124707E1,1.000000000E2
4.552122307E1,9.700000000E1
4.570120207E1,9.000000000E1
4.588117807E1,8.700000000E1
4.606115607E1,8.900000000E1
4.624113307E1,8.400000000E1
4.642112107E1,7.600000000E1
4.660109707E1,7.300000000E1
4.678107507E1,8.000000000E1
4.696105207E1,8.700000000E1
4.714103007E1,8.900000000E1
4.732100707E1,9.300000000E1
4.750098907E1,9.700000000E1
4.768096507E1,9.900000000E1
4.786094407E1,9.800000000E1
4.804092007E1,9.700000000E1
4.822087765E1,9.600000000E1
4.858084065E1,9.400000000E1
4.876081865E1,9.300000000E1
4.912077365E1,9.200000000E1
4.930074965E1,9.000000000E1
4.966070865E1,9.100000000E1
4.984068665E1,9.000000000E1
5.002066365E1,9.200000000E1
5.020064165E1,9.400000000E1
5.038061865E1,9.200000000E1
5.056059665E1,9.600000000E1
5.074058365E1,1.020000000E2
5.110053865E1,9.600000000E1
5.146049365E1,9.300000000E1
5.164047165E1,8.600000000E1
5.182045765E1,7.900000000E1
5.200043565E1,7.100000000E1
5.236039065E1,6.700000000E1
5.254043091E1,6.100000000E1
5.272040991E1,6.300000000E1
5.290038991E1,6.500000000E1
5.308036791E1,6.800000000E1
5.326034491E1,7.500000000E1
5.344032091E1,8.800000000E1
5.362029991E1,9.300000000E1
5.380027591E1,9.400000000E1
5.416023991E1,9.100000000E1
5.434021991E1,8.700000000E1
5.452019491E1,8.200000000E1
5.488014991E1,8.000000000E1
5.506013191E1,7.700000000E1
5.524010791E1,7.800000000E1
5.542008691E1,7.600000000E1
