"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.183116332E2,1.541913033E0,1.094901848E1,-5.842030644E-1
2.184117043E2,2.011190891E0,1.005834866E1,-1.039115310E0
2.185117652E2,2.121327400E0,1.168166637E1,1.477267504E0
2.186118310E2,2.298503876E0,8.257853508E0,3.462121487E0
2.187118963E2,3.615355015E0,1.205277920E1,3.170019865E0
2.188119664E2,2.566662550E0,1.410946178E1,5.909070015E0
2.189120387E2,-1.240234375E0,3.859570980E0,-1.867534399E0
2.190121044E2,-6.273000240E-1,9.761458397E0,-3.976890564E0
2.191121696E2,3.328042030E0,1.002722263E1,2.264983892E0
2.192122418E2,6.201171875E-1,1.003680038E1,6.129343510E-1
2.193123062E2,2.640885115E0,1.022834206E1,-1.867534369E-1
2.194123672E2,3.373533249E0,7.261835575E0,-1.209108829E0
2.195124379E2,9.624984860E-1,8.954587936E0,1.913025618E0
2.196125054E2,1.570644259E0,1.309428883E1,1.197137386E-1
2.197125633E2,8.092648983E-1,8.138139725E0,9.337671995E-1
2.198126482E2,-6.632141471E-1,1.042946148E1,-2.097384691E0
2.199127069E2,1.422199249E0,9.021627426E0,1.891477108E-1
2.200127702E2,2.001613855E0,1.123633194E1,3.641691923E0
2.201128373E2,1.649655342E0,7.599428177E0,2.166818619E0
2.202129233E2,3.644086361E0,8.894730568E0,-1.290514112E0
2.203129721E2,3.100585938E0,1.058269501E1,1.817254543E0
2.204130484E2,6.632141471E-1,8.636149406E0,3.950553417E0
2.205131122E2,1.965699673E0,9.177255630E0,3.399870098E-1
2.206131794E2,8.619389534E-1,1.203601933E1,2.011190802E-1
2.207132368E2,-7.087053657E-1,7.881952763E0,-1.675992459E-2
2.208133121E2,1.936968327E0,1.118365765E1,4.920234680E0
2.209133759E2,2.944957972E0,9.275420189E0,8.308133483E-1
2.210134418E2,2.130904645E-1,6.907482624E0,3.435784340E0
2.211135167E2,3.799714088E0,1.248374844E1,4.932205975E-1
2.212135789E2,1.680780888E0,8.640937805E0,2.861158371E0
2.213136532E2,1.505998850E0,9.998491287E0,3.514795303E0
2.214137094E2,2.209915638E0,9.143735886E0,2.724684715E0
2.215137804E2,-1.996825218E0,1.041988373E1,-1.934574008E0
2.216138494E2,6.703969240E-1,1.038157558E1,-8.858817071E-2
2.217139052E2,1.443747759E0,8.219545364E0,2.214704275E0
2.218139817E2,6.943396926E-1,1.051326084E1,-2.418217510E-1
2.219140503E2,4.738269806E0,1.078141975E1,-1.139674783E0
2.220141193E2,1.096577883E0,5.882733345E0,2.619336605E0
2.221141815E2,3.091008663E0,1.100648117E1,2.015979290E0
2.222144832E2,1.175588965E0,1.043185520E1,6.536370516E-1
2.223145573E2,1.053480864E0,8.731920242E0,4.477293789E-1
2.224146186E2,9.577099234E-2,1.090113354E1,2.533142805E0
2.225146883E2,1.199531674E0,7.345634937E0,3.430995703E0
2.226147537E2,4.189980924E-1,7.683228016E0,1.587404251E0
2.227148160E2,2.861158371E0,1.309668350E1,3.064671755E0
2.228148881E2,2.528354168E0,1.310386562E1,5.183605194E0
2.229149535E2,3.095797300E0,5.475706577E0,2.054287672E0
2.230150221E2,3.806896925E0,1.115971470E1,2.346389294E-1
2.231150887E2,1.127703428E0,8.937828064E0,1.051086664E0
2.232151556E2,1.831620216E0,8.152505875E0,2.293715239E0
2.233152268E2,-1.046298146E0,1.367849159E1,1.984853864E0
2.234152904E2,1.312062621E0,5.205153465E0,2.466102988E-1
2.235153625E2,9.505270720E-1,9.629773140E0,-5.985686928E-2
2.236154344E2,1.211503029E0,1.461225891E1,3.816473961E0
2.237154865E2,2.468497276E0,7.448588848E0,1.063058019E0
2.238155595E2,2.320052385E0,1.074790001E1,1.247417212E0
2.239156382E2,1.778946161E0,7.328875065E0,5.458946824E-1
2.240157010E2,1.632895470E0,1.123393726E1,8.763045669E-1
