"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.070244502E2,5.238656528E1,5.210887854E0,-1.404104319E1,3.989563227E0,7.672061157E1,6.000000000E0,0.000000000E0
1.080218617E2,5.238657559E1,5.210957359E0,-1.406765510E1,3.992846489E0,7.728502655E1,6.000000000E0,0.000000000E0
1.090236759E2,5.238658625E1,5.211021997E0,-1.409286032E1,3.986994028E0,7.763806152E1,6.000000000E0,0.000000000E0
1.100445230E2,5.238659629E1,5.211076443E0,-1.411878833E1,3.984386444E0,7.883362579E1,6.000000000E0,0.000000000E0
1.110245463E2,5.238660623E1,5.211127190E0,-1.414796413E1,3.978934526E0,7.885532379E1,6.000000000E0,0.000000000E0
1.120312170E2,5.238661494E1,5.211184892E0,-1.418005233E1,3.979069471E0,7.790717316E1,6.000000000E0,0.000000000E0
1.130211519E2,5.238662153E1,5.211233886E0,-1.421324228E1,3.971740484E0,7.649543762E1,6.000000000E0,0.000000000E0
1.140312886E2,5.238662877E1,5.211282796E0,-1.424261990E1,3.962647438E0,7.649711609E1,6.000000000E0,0.000000000E0
1.150693887E2,5.238663738E1,5.211340368E0,-1.427279916E1,3.955283165E0,7.715787506E1,6.000000000E0,0.000000000E0
1.160227798E2,5.238664501E1,5.211395668E0,-1.430077279E1,3.929871082E0,7.700070953E1,6.000000000E0,0.000000000E0
1.170263039E2,5.238665259E1,5.211447639E0,-1.432849020E1,3.890719175E0,7.608813477E1,6.000000000E0,0.000000000E0
1.180182900E2,5.238666169E1,5.211491084E0,-1.436002494E1,3.848753214E0,7.461327362E1,6.000000000E0,0.000000000E0
1.190293841E2,5.238667172E1,5.211547092E0,-1.439206512E1,3.812964916E0,7.324520874E1,6.000000000E0,0.000000000E0
1.200462215E2,5.238668141E1,5.211593134E0,-1.442616964E1,3.782842636E0,7.443613434E1,6.000000000E0,0.000000000E0
1.210322627E2,5.238668969E1,5.211645939E0,-1.446212947E1,3.761817217E0,7.674831390E1,6.000000000E0,0.000000000E0
1.220259073E2,5.238669365E1,5.211700352E0,-1.450064099E1,3.738765955E0,7.665467834E1,6.000000000E0,0.000000000E0
1.230359371E2,5.238669932E1,5.211756088E0,-1.454210066E1,3.731117010E0,7.710167694E1,6.000000000E0,0.000000000E0
1.240325046E2,5.238670962E1,5.211814489E0,-1.458451625E1,3.723124981E0,7.671759033E1,6.000000000E0,0.000000000E0
1.250404531E2,5.238671908E1,5.211872424E0,-1.462594701E1,3.716492176E0,7.591178131E1,6.000000000E0,0.000000000E0
1.260409308E2,5.238672788E1,5.211924913E0,-1.466785732E1,3.706512213E0,7.638075256E1,6.000000000E0,0.000000000E0
1.270280819E2,5.238673460E1,5.211966797E0,-1.471496884E1,3.696060896E0,7.669831848E1,6.000000000E0,0.000000000E0
1.280184755E2,5.238674401E1,5.212017651E0,-1.476436345E1,3.690909863E0,7.692922974E1,6.000000000E0,0.000000000E0
1.290355285E2,5.238675294E1,5.212079751E0,-1.481287717E1,3.692905903E0,7.598491669E1,6.000000000E0,0.000000000E0
1.300957417E2,5.238676211E1,5.212140216E0,-1.485934175E1,3.698214293E0,7.481265259E1,6.000000000E0,0.000000000E0
1.310314629E2,5.238677200E1,5.212198775E0,-1.490679597E1,3.696995497E0,7.498171997E1,6.000000000E0,0.000000000E0
1.320434532E2,5.238678120E1,5.212255361E0,-1.495690983E1,3.682432890E0,7.186904907E1,6.000000000E0,0.000000000E0
1.330403626E2,5.238678874E1,5.212309184E0,-1.500710431E1,3.690357685E0,7.277153778E1,6.000000000E0,0.000000000E0
1.340358774E2,5.238679923E1,5.212372274E0,-1.505586960E1,3.693991423E0,7.141461182E1,6.000000000E0,0.000000000E0
1.350521647E2,5.238680725E1,5.212426070E0,-1.510587001E1,3.708729744E0,7.496810913E1,6.000000000E0,0.000000000E0
1.360419656E2,5.238681457E1,5.212489830E0,-1.515770831E1,3.701525688E0,7.967851257E1,6.000000000E0,0.000000000E0
1.370215257E2,5.238681757E1,5.212537988E0,-1.521346191E1,3.695389748E0,8.064903259E1,6.000000000E0,0.000000000E0
1.380223265E2,5.238682466E1,5.212602045E0,-1.526695335E1,3.685854673E0,7.845066833E1,6.000000000E0,0.000000000E0
1.390216990E2,5.238683143E1,5.212657573E0,-1.531963969E1,3.673327684E0,7.863027954E1,6.000000000E0,0.000000000E0
1.400250311E2,5.238684014E1,5.212710252E0,-1.536928787E1,3.669742584E0,7.756642914E1,6.000000000E0,0.000000000E0
1.410314767E2,5.238684727E1,5.212750232E0,-1.541602242E1,3.646246433E0,7.358966064E1,6.000000000E0,0.000000000E0
1.420620706E2,5.238685463E1,5.212794564E0,-1.545797223E1,3.620513439E0,7.442512512E1,6.000000000E0,0.000000000E0
1.430439190E2,5.238686316E1,5.212839754E0,-1.549749353E1,3.600485563E0,7.236386871E1,6.000000000E0,0.000000000E0
1.440455292E2,5.238687210E1,5.212881925E0,-1.553596397E1,3.602972746E0,5.729764557E1,6.000000000E0,0.000000000E0
1.450232431E2,5.238688840E1,5.212918882E0,-1.557346655E1,3.593342781E0,6.111010361E1,6.000000000E0,0.000000000E0
1.460341592E2,5.238690177E1,5.212959700E0,-1.560921742E1,3.578222513E0,5.152717972E1,6.000000000E0,0.000000000E0
1.470301435E2,5.238692076E1,5.212997606E0,-1.564302154E1,3.555924416E0,4.017809296E1,6.000000000E0,0.000000000E0
1.480416317E2,5.238694161E1,5.213024711E0,-1.567690419E1,3.523370266E0,3.371930695E1,6.000000000E0,0.000000000E0
1.490351106E2,5.238696517E1,5.213052297E0,-1.570766344E1,3.494681835E0,2.787742233E1,6.000000000E0,0.000000000E0
1.500290025E2,5.238698938E1,5.213073218E0,-1.573382740E1,3.463568449E0,2.565258408E1,6.000000000E0,0.000000000E0
1.510367661E2,5.238701749E1,5.213092697E0,-1.575812367E1,3.441325665E0,1.965686798E1,6.000000000E0,0.000000000E0
1.520345303E2,5.238704579E1,5.213106183E0,-1.578254139E1,3.418175697E0,1.747473907E1,6.000000000E0,0.000000000E0
1.530599661E2,5.238707099E1,5.213117075E0,-1.581113454E1,3.395796776E0,1.621168327E1,6.000000000E0,0.000000000E0
1.541162459E2,5.238709609E1,5.213127562E0,-1.584139101E1,3.392335892E0,1.411233234E1,6.000000000E0,0.000000000E0
1.550267974E2,5.238712804E1,5.213140612E0,-1.587287752E1,3.420268059E0,1.593678665E1,6.000000000E0,0.000000000E0
1.560286472E2,5.238715780E1,5.213156360E0,-1.590716972E1,3.452587366E0,1.500827503E1,6.000000000E0,0.000000000E0
1.570309211E2,5.238719460E1,5.213182363E0,-1.582951544E1,3.468921423E0,1.922581291E1,6.000000000E0,0.000000000E0
1.580422727E2,5.238722972E1,5.213207577E0,-1.568737390E1,3.501398563E0,2.188499069E1,6.000000000E0,0.000000000E0
1.590396016E2,5.238725706E1,5.213234277E0,-1.550670305E1,3.545802593E0,2.375035477E1,6.000000000E0,0.000000000E0
1.600402813E2,5.238728474E1,5.213262014E0,-1.530102864E1,3.579686880E0,3.651935577E1,6.000000000E0,0.000000000E0
1.610457544E2,5.238730896E1,5.213296084E0,-1.507746836E1,3.616861820E0,3.938524628E1,6.000000000E0,0.000000000E0
1.620239988E2,5.238733008E1,5.213329864E0,-1.484221575E1,3.633903265E0,5.198083115E1,6.000000000E0,0.000000000E0
1.630231053E2,5.238736007E1,5.213390423E0,-1.459696178E1,3.645431280E0,5.875888824E1,6.000000000E0,0.000000000E0
1.640351136E2,5.238737992E1,5.213449173E0,-1.434448954E1,3.651479244E0,7.054383087E1,6.000000000E0,0.000000000E0
1.650292980E2,5.238739077E1,5.213514816E0,-1.408716862E1,3.663735628E0,8.770856476E1,6.000000000E0,0.000000000E0
1.660299880E2,5.238738613E1,5.213594417E0,-1.148463098E1,3.705140114E0,9.925177765E1,6.000000000E0,0.000000000E0
