"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.448384680E1,5.238631016E1,5.208798225E0,6.240648857E0,2.519810438E0,2.064026794E2,4.000000000E0,0.000000000E0
8.544278668E1,5.238629488E1,5.208778696E0,6.245428866E0,2.475223541E0,2.004669037E2,4.000000000E0,0.000000000E0
8.645858322E1,5.238627738E1,5.208762773E0,6.250855372E0,2.424683332E0,2.141504059E2,4.000000000E0,0.000000000E0
8.746347864E1,5.238626091E1,5.208736166E0,6.258406454E0,2.364417791E0,2.394220581E2,4.000000000E0,0.000000000E0
8.845244418E1,5.238625374E1,5.208715696E0,6.266804847E0,2.295317411E0,2.480321960E2,4.000000000E0,0.000000000E0
8.949061979E1,5.238624994E1,5.208694647E0,6.274954855E0,2.222740650E0,2.505305786E2,4.000000000E0,0.000000000E0
9.044064199E1,5.238624673E1,5.208679406E0,6.281036153E0,2.157003641E0,2.545344543E2,4.000000000E0,0.000000000E0
9.145610483E1,5.238624283E1,5.208652066E0,6.285741250E0,2.101491928E0,2.572852173E2,4.000000000E0,0.000000000E0
9.244219933E1,5.238623862E1,5.208622732E0,6.289977718E0,2.066247702E0,2.559447784E2,4.000000000E0,0.000000000E0
9.343764421E1,5.238623299E1,5.208589281E0,6.294695656E0,2.049486160E0,2.584000549E2,4.000000000E0,0.000000000E0
9.444889898E1,5.238622925E1,5.208553544E0,6.300212111E0,2.042729378E0,2.561176453E2,4.000000000E0,0.000000000E0
9.548907033E1,5.238622574E1,5.208526105E0,6.305226557E0,2.041047096E0,2.555679474E2,4.000000000E0,0.000000000E0
9.643923740E1,5.238622175E1,5.208491825E0,6.310621640E0,2.059362888E0,2.553176575E2,4.000000000E0,0.000000000E0
9.743641071E1,5.238621592E1,5.208449006E0,6.316010989E0,2.089189053E0,2.541368103E2,4.000000000E0,0.000000000E0
9.845259279E1,5.238620951E1,5.208409278E0,6.320677711E0,2.136754751E0,2.501963654E2,4.000000000E0,0.000000000E0
9.944294302E1,5.238620265E1,5.208368520E0,6.324809893E0,2.183026314E0,2.512973633E2,4.000000000E0,0.000000000E0
1.004394220E2,5.238619692E1,5.208330496E0,6.328390525E0,2.227340221E0,2.531418152E2,4.000000000E0,0.000000000E0
1.014662471E2,5.238619184E1,5.208291045E0,6.331372331E0,2.265730619E0,2.527874908E2,4.000000000E0,0.000000000E0
