"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.306166714E1,-6.500456333E0,3.313676357E0,-9.792584181E-1
8.316173145E1,2.370332003E0,1.677189445E1,2.125397682E1
8.326180023E1,-2.164424419E0,2.751021862E0,3.514795303E0
8.336186891E1,9.842864037E0,-5.150084972E0,6.335251331E0
8.346193753E1,7.089447498E0,6.124555111E0,1.362102985E1
8.356200255E1,-4.070267200E0,1.136083412E1,2.033457565E1
8.366206703E1,-2.892283916E0,4.223500729E0,-2.425400496E0
8.376213681E1,-7.003253937E0,1.731060743E0,1.283331275E0
8.386220163E1,-8.212362289E0,1.936968231E1,3.306493378E1
8.396227325E1,-5.818088055E-1,6.711152077E0,5.027976990E0
8.406234640E1,6.016812801E0,-2.940169573E0,3.833234072E0
8.416240181E1,8.559532166E0,1.403045058E0,3.900273561E0
8.426247346E1,1.259388566E0,1.455958557E1,2.342319107E1
8.436253667E1,-3.940976381E0,4.970514297E0,8.782199860E0
8.446289042E1,-5.344021320E0,1.137280583E0,-1.611346960E0
8.456295280E1,-1.108309841E1,1.016369629E1,9.431048393E0
8.466301105E1,7.901106775E-2,1.165532970E1,9.617801666E0
8.476308537E1,-6.368771195E-1,-5.219519138E-1,7.992089272E0
8.486315998E1,1.096817303E1,-1.992036581E0,4.709538460E0
8.496322839E1,2.439765930E0,1.017566776E1,6.639324188E0
8.506328837E1,-4.886714935E0,1.102802944E1,1.740158844E1
8.516335555E1,-3.545921087E0,4.831646442E0,-1.149251938E0
8.526342107E1,-4.134912491E0,4.415042877E0,1.233051538E0
8.536348985E1,-8.142929077E0,1.695625496E1,2.674165535E1
8.546355586E1,-1.077423692E-1,5.576265812E0,3.433390141E0
8.556362574E1,7.529994488E0,-1.249811411E0,7.664073467E0
8.566368419E1,5.478100777E0,1.012778282E0,-8.020820618E-1
8.576376668E1,-2.870735407E0,1.554123783E1,1.935292244E1
8.586382966E1,-3.495641351E-1,9.306546211E0,5.655277252E0
8.596389014E1,-5.688796997E0,3.007209063E0,2.207521439E0
8.606395973E1,-7.280989647E0,4.671230316E0,1.187560320E0
8.616402582E1,4.146883965E0,1.347019005E1,2.428034019E1
8.626409170E1,1.747820616E0,4.843617916E0,8.229122162E0
8.636416561E1,6.938608170E0,-2.839609861E0,5.566689014E0
8.646422873E1,6.651295185E0,3.241847992E0,4.774183750E0
8.656429418E1,-2.355966330E0,1.111901188E1,2.423963737E1
8.666435755E1,7.134938836E-1,6.007235527E0,1.314456820E0
8.676442667E1,-3.320859194E0,1.996825218E0,6.991282701E-1
8.686449562E1,-9.634561539E0,1.193306541E1,1.459549904E1
8.696456294E1,1.953728199E0,9.323306084E0,9.447808266E0
8.706462958E1,2.355966330E0,9.744698405E-1,7.484503269E0
8.716469540E1,1.004398251E1,-1.558672905E0,1.596981287E0
8.726478378E1,2.877918243E0,6.519610405E0,1.405918121E1
8.736483073E1,7.182824612E-2,1.186602592E1,6.138920784E0
8.746490041E1,-3.292127848E0,2.995237827E0,-8.092648983E-1
8.756496543E1,-4.549122334E0,3.861965179E0,1.714300752E0
8.766503187E1,-5.257827282E0,1.418128967E1,2.829075050E1
8.776511615E1,-3.416630268E0,6.672843933E0,4.822069645E0
8.786517020E1,7.415069103E0,-1.903448462E0,6.182017326E0
8.796523332E1,9.009655952E0,1.007989645E0,-6.584255695E-1
8.806530200E1,-5.339232683E-1,9.852440834E0,2.957887077E1
8.816537638E1,-8.403904438E-1,7.108602047E0,6.512427330E-1
8.826544579E1,-1.898659945E0,3.682394743E0,1.096577883E0
8.836550500E1,-9.249083519E0,1.086521912E1,1.576390553E1
8.846556888E1,1.728666425E0,9.261054993E0,6.751854897E0
8.856564240E1,1.094183564E0,2.968900800E-1,3.593806505E0
8.866570061E1,1.047734642E1,-2.202732861E-1,3.591412306E-2
8.876577083E1,3.859570980E0,8.423058510E0,1.600572777E1
8.886583654E1,-4.628133297E0,8.758256912E0,8.571503639E0
8.896590446E1,-3.081431627E0,2.566662550E0,-6.847625971E-1
8.906597934E1,-3.292127848E0,2.762993097E0,-2.162030220E0
8.916604575E1,-5.104593754E0,1.543110085E1,2.945676231E1
8.926611166E1,-2.150058746E0,5.554717541E0,5.102199554E0
8.936618004E1,8.095043182E0,-4.031958580E0,7.577879906E0
8.946623976E1,7.158881664E0,6.263422966E0,7.070293427E0
8.956630740E1,-1.553884387E0,8.772623062E0,1.930982590E1
8.966637045E1,-5.707951069E0,4.386311531E0,2.217098475E0
8.976643981E1,-1.764580488E0,2.703136206E0,-1.443747759E0
8.986652696E1,-1.116210938E1,1.972164154E1,3.007209206E1
8.996658594E1,-4.573064744E-1,6.624958515E0,3.541132450E0
9.006665302E1,4.391099930E0,-2.985660791E0,3.237059593E0
9.016671410E1,5.870761871E0,2.336812258E0,5.600208759E0
9.026678528E1,-2.188367128E0,8.126168251E0,2.128749657E1
9.036684370E1,-7.805336118E-1,7.230710030E0,1.336005330E0
9.046692075E1,-1.192348838E0,3.907456398E0,4.455745220E0
9.056698399E1,-5.736682415E0,6.237085819E0,1.158110714E1
9.066704487E1,1.884294271E0,8.968953133E0,8.552350044E0
9.076711366E1,2.614548206E0,9.481328130E-1,4.685595989E0
9.086718091E1,5.013611317E0,-2.552296877E0,6.103006363E0
9.096725075E1,3.102980137E0,7.292961121E0,5.142902374E0
9.106732086E1,5.174027920E0,6.548341751E0,1.341033363E1
9.116739148E1,-4.613767624E0,2.451737404E0,3.466909885E0
9.126745366E1,-4.127729893E0,3.038334846E0,1.127703428E0
9.136752387E1,-4.151672363E0,1.639599419E1,2.465863609E1
9.146758882E1,-1.994430900E0,7.041562080E0,6.459753513E0
9.156765073E1,6.804529190E0,-4.834040642E0,8.236305237E0
9.166771061E1,4.343214512E0,-4.549122229E-2,1.099690437E1
9.176787360E1,-1.532335877E-1,1.204559612E1,2.417020416E1
9.186795295E1,-1.254600048E0,6.019207001E0,1.905842781E0
9.196801816E1,-2.762993097E0,2.391880512E0,5.937801600E-1
9.206807655E1,-1.325949383E1,1.330498505E1,1.527307892E1
9.216814362E1,7.022408009E0,1.133689117E1,9.591464996E0
9.226821160E1,3.739857197E0,-8.667274714E-1,3.814079762E0
9.236828395E1,7.642525196E0,-2.736656189E0,-3.023969173E0
9.246834510E1,3.253819466E0,1.309668350E1,1.091310501E1
9.256841347E1,-2.480468750E0,9.658504486E0,7.474925995E0
9.266847092E1,-1.276148438E0,4.182797909E0,9.361614585E-1
9.276854460E1,-4.917840481E0,7.216344357E0,4.259414673E0
9.286861915E1,3.368744612E0,1.295063210E1,1.587164783E1
9.296868020E1,-1.836408734E0,4.798126698E0,3.383110285E0
9.306874898E1,7.348029613E0,-2.911438227E0,8.231516838E0
