"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.293224815E1,-1.412622184E-1,2.097384691E0,1.095380688E1
4.303231464E1,4.166038036E-1,1.714300752E0,7.850827217E0
4.313238402E1,4.213923812E-1,3.201145411E0,6.763826370E0
4.323245317E1,-1.573038578E0,5.624151707E0,9.823709488E0
4.333252148E1,4.549122155E-1,5.312895775E0,1.015172482E1
4.343258682E1,8.140534163E-2,1.913025618E0,1.536645603E1
4.353264904E1,-1.819648892E-1,2.317657948E0,6.684815407E0
4.363271686E1,7.182824425E-3,2.540325642E0,6.687209606E0
4.373278514E1,-8.715160489E-1,2.875524044E0,8.083071709E0
4.383286072E1,1.515576005E0,4.429408550E0,1.162659836E1
4.393292273E1,8.212362528E-1,3.368744612E0,1.516773129E1
4.403298718E1,3.304099143E-1,1.774157643E0,8.511647224E0
4.413305260E1,1.975276709E0,2.504411459E0,6.136526108E0
4.423312371E1,2.585816681E-1,3.797319889E0,6.919454098E0
4.433319279E1,-2.825244367E-1,5.511620522E0,9.399923325E0
4.443326014E1,7.398309112E-1,5.774991035E0,1.167208958E1
4.453331476E1,1.709512234E0,2.746233225E0,9.081484795E0
4.463338700E1,-9.529213905E-1,1.750214934E0,8.602629662E0
4.473345532E1,8.164477348E-1,2.363149166E0,5.530774593E0
4.483352293E1,-1.771763414E-1,3.553103924E0,7.934626579E0
4.493359095E1,1.920208454E0,5.140508175E0,1.189954567E1
4.503365816E1,2.056682110E0,4.520390987E0,1.402805614E1
4.513372901E1,9.457385540E-1,1.340793848E0,9.648927689E0
4.523381153E1,7.829278708E-1,1.893871427E0,4.400677204E0
4.533386957E1,1.340793967E-1,3.964919090E0,7.594639778E0
4.543393442E1,-1.161223292E0,5.492466450E0,1.144223976E1
4.553398880E1,1.173194647E-1,5.631334305E0,1.213897324E1
4.563406385E1,2.106961906E-1,2.205127001E0,6.972128391E0
4.573413740E1,-6.943397224E-2,2.535537004E0,7.711959362E0
4.583419832E1,-1.364736706E-1,2.952140808E0,7.118178844E0
4.593427256E1,1.436564922E-1,4.027170181E0,9.225140572E0
4.603433278E1,1.474873304E0,4.841223717E0,9.514847755E0
4.613440196E1,5.865973234E-1,3.098191500E0,1.368806934E1
4.623447934E1,8.260248303E-1,1.845985889E0,7.831672668E0
4.633453675E1,9.122186899E-1,3.251425266E0,5.506832123E0
4.643460507E1,6.847625971E-1,4.443774223E0,8.676852226E0
4.653466562E1,-4.046324492E-1,5.490072250E0,1.093944168E1
4.663472814E1,5.626545548E-1,5.114171028E0,1.194982529E1
4.673479822E1,1.604164094E-1,2.521171331E0,6.931425571E0
4.683486936E1,5.267404318E-1,2.688770533E0,8.174054146E0
4.693494508E1,6.225114465E-1,3.198751211E0,7.630553722E0
4.703500426E1,6.368771195E-1,4.527573586E0,9.835680962E0
4.713507654E1,1.977671027E0,5.423032284E0,1.076226521E1
4.723513282E1,6.225114465E-1,2.791724443E0,1.222516727E1
4.733521854E1,9.313728809E-1,1.465296149E0,7.122967720E0
4.743526722E1,4.764606953E-1,2.935380936E0,6.103006363E0
4.753532881E1,6.392713785E-1,5.300924301E0,8.540378571E0
4.763541139E1,6.680026650E-1,5.569083214E0,1.121238899E1
4.773547567E1,5.602602959E-1,4.577853203E0,1.275190735E1
4.783553622E1,-4.620950520E-1,3.301704884E0,8.499675751E0
4.793571440E1,-1.532335877E-1,4.022381783E0,7.532388687E0
4.803577338E1,-8.667274714E-1,4.247443676E0,7.450983047E0
4.813584160E1,5.075862408E-1,4.826858044E0,1.003201103E1
4.823591351E1,1.345582485E0,4.369551659E0,1.401608467E1
4.833597470E1,-2.777358890E-1,3.313676357E0,7.716747761E0
4.843604167E1,-6.703969836E-2,3.852388144E0,7.192401409E0
4.853610129E1,-5.794144869E-1,4.551516533E0,7.434223175E0
4.863617544E1,-1.259388566E0,5.600208759E0,9.311334610E0
4.873624812E1,-1.034326673E0,4.831646442E0,9.699207306E0
4.883631153E1,-7.805336118E-1,3.256213665E0,9.979337692E0
4.893637845E1,-8.954587579E-1,3.457332850E0,8.396721840E0
4.903644533E1,-3.256213665E-1,3.682394743E0,6.701575279E0
4.913651308E1,2.561874092E-1,5.075862408E0,9.665687561E0
4.923658096E1,6.081457734E-1,5.490072250E0,9.639349937E0
4.933664667E1,3.280156553E-1,4.309694767E0,1.168884945E1
4.943671662E1,-7.685621977E-1,2.997632027E0,7.010436535E0
4.953677246E1,1.556278616E-1,4.209135056E0,6.337645531E0
4.963684692E1,-4.788549617E-2,5.387118340E0,7.738296032E0
4.973692120E1,-5.650488734E-1,7.110996246E0,9.313729286E0
4.983698108E1,-6.320885420E-1,5.695979595E0,1.185166073E1
4.993705156E1,-5.674431324E-1,3.557892323E0,7.814912796E0
5.003711651E1,-1.017566800E0,3.435784340E0,6.682421207E0
5.013718963E1,4.070267081E-2,3.845205307E0,6.902694225E0
5.023725671E1,5.267404318E-1,5.126142502E0,8.265036583E0
5.033732079E1,2.154847234E-2,5.755836487E0,8.990502357E0
5.043739037E1,4.046324492E-1,4.391099930E0,1.153082752E1
5.053744418E1,-1.936968327E0,2.475680113E0,8.844450951E0
5.063751780E1,-6.775797606E-1,3.237059593E0,6.952973843E0
5.073759152E1,4.711932659E0,3.847599506E0,1.537842751E1
5.083766590E1,-6.943396926E-1,4.819674969E0,1.183729458E1
5.093772425E1,-1.252205729E0,3.256213665E0,1.359708691E1
5.103779486E1,-3.687183261E-1,1.098972082E0,9.519637108E0
5.113785507E1,-8.499675393E-1,2.224281311E0,8.126168251E0
5.123792796E1,-2.178790122E-1,3.689577579E0,8.499675751E0
