"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.858344738E1,-1.322938651E-1,5.136582628E-2,-3.745734096E-1
1.868351320E1,5.775315762E-1,4.708976671E-2,1.617662758E-1
1.878358265E1,6.257214397E-2,-1.160112545E-1,3.165198490E-2
1.888364806E1,8.822849393E-2,4.942431450E-1,2.173550129E-1
1.898378253E1,-2.049868256E-1,-3.426422477E-1,1.538250297E-1
1.908385028E1,-5.953297019E-1,2.657795548E-1,-1.143448129E-1
1.918391730E1,9.494800866E-2,-1.783194989E-1,1.562684923E-1
1.928398488E1,-7.181821018E-2,-1.099025980E-1,-6.543496847E-1
1.938405116E1,6.501560658E-2,-1.715999842E-1,-9.500085115E-1
1.948411807E1,2.330035567E-1,4.337674677E-1,-5.443938971E-1
1.958418708E1,-2.501908541E-1,-2.003106475E-1,-6.274716258E-1
1.968425194E1,-2.123172134E-1,3.609419614E-2,-1.007429838E0
1.978432018E1,3.142486215E-1,-7.447241247E-2,-4.423794448E-1
1.988439443E1,2.635468245E-1,6.048097610E-1,-6.073130369E-1
1.998446598E1,8.371492624E-1,2.224081010E-1,-2.462916970E-1
2.008453313E1,-4.982705787E-2,-4.605392516E-1,-4.576510787E-1
2.018459497E1,-6.894029379E-1,-2.381843030E-1,-6.647343636E-1
2.028465489E1,-7.181821018E-2,-6.666372530E-3,-4.668140709E-1
2.038472454E1,3.044748008E-1,-6.431879997E-1,-6.005935669E-1
2.048479062E1,-2.165932655E-1,-1.233283758E0,-1.188856840E0
2.058485296E1,-1.304612756E-1,4.239936173E-1,-1.231006503E0
2.068492575E1,5.231645703E-1,-7.274873853E-1,-3.037130535E-1
2.078499136E1,-1.512306780E-1,-7.189352512E-1,-1.003764629E0
2.088506648E1,6.318301708E-2,-2.442929596E-1,-5.814520642E-2
2.098513006E1,3.618961275E-1,-6.666372530E-3,1.501598358E-1
2.108519217E1,6.349529028E-1,-5.992056727E-1,3.043025173E-2
2.118525978E1,3.929085098E-3,1.020676419E-1,-4.668140709E-1
2.128532680E1,-3.491510451E-1,-4.409915507E-1,-5.511134863E-1
2.138539612E1,-3.021143973E-1,-1.288394183E-1,-5.370635390E-1
2.148546430E1,1.102196351E-1,-5.436169505E-1,-3.635778129E-1
2.158552622E1,-1.891043335E-1,-5.729385018E-1,-5.462265611E-1
2.168559503E1,-3.272282705E-2,3.085401058E-1,-3.886232972E-1
2.178566185E1,3.154703677E-1,-4.165569544E-1,-1.021274999E-1
2.188572883E1,-1.805522144E-1,2.834946215E-1,-4.857508838E-1
2.198579631E1,5.707436055E-2,-5.370299518E-2,-5.386915058E-2
2.208586990E1,4.785713851E-1,-1.318937540E-1,3.554105461E-1
2.218592994E1,-1.231308803E-1,-3.841810822E-1,1.703183949E-1
2.228600339E1,-2.153715342E-1,3.549658656E-1,1.709292531E-1
2.238607138E1,-3.967985213E-1,-1.129569262E-1,4.631274939E-2
2.248613996E1,-2.911188304E-1,-6.103337929E-2,1.190057173E-1
2.258619510E1,1.987951100E-1,-3.909006119E-1,3.370845914E-1
2.268626718E1,-4.688806236E-1,-6.511291862E-1,-2.701154351E-1
2.278633293E1,-2.281997055E-1,7.641129941E-2,-5.089637637E-1
2.288640214E1,1.065544412E-1,-3.511943519E-1,-3.391432166E-1
2.298647309E1,-1.946021169E-1,1.002350450E-1,-3.886232972E-1
2.308653787E1,4.144305289E-1,-4.159460664E-1,2.008616477E-1
2.318660395E1,4.840691388E-1,3.427485228E-1,-1.668792218E-1
2.328668010E1,1.077761799E-1,-1.178438514E-1,1.576948725E-2
2.338673718E1,-2.043759674E-1,1.387195587E-1,-1.100687534E-1
2.348680512E1,-2.324757725E-1,-2.296321839E-1,2.705003023E-1
2.358686700E1,-1.090809852E-1,1.222261935E-1,4.684206247E-1
2.368693872E1,3.875524700E-1,-2.607863247E-1,1.245035008E-1
2.378700406E1,-1.567284763E-1,-8.221714497E-1,-7.942378521E-1
2.388707622E1,1.749713570E-1,2.334036678E-1,-1.613814384E-1
2.398713776E1,3.808329403E-1,-1.233416349E-1,5.995642394E-3
2.408721314E1,-6.021176651E-2,-1.990889311E-1,-4.545967281E-1
2.418727543E1,2.501077652E-1,-2.377059869E-2,-2.210415900E-2
2.428734164E1,6.806994230E-2,-1.282285601E-1,1.354990751E-1
2.438741072E1,2.855379581E-1,9.933199883E-1,1.886443496E-1
2.448747967E1,-4.756001234E-1,1.985843480E-1,8.235380054E-2
2.458754798E1,-1.390133798E-1,-6.653116643E-2,4.714749455E-1
2.468761993E1,-1.634479910E-1,8.985033631E-2,2.698894441E-1
2.478768302E1,-1.866608709E-1,-6.897462159E-2,-5.254570842E-1
2.488774806E1,-4.218440056E-1,-2.442929596E-1,-8.993066549E-1
2.498780888E1,3.948828578E-1,3.354181647E-1,3.627409339E-1
2.508787726E1,-2.483582646E-1,2.327927947E-1,4.936707392E-2
2.518794331E1,-3.277707398E-1,1.349218097E-2,-3.996188641E-1
2.528801059E1,4.974398017E-2,4.246045053E-1,2.894371152E-1
2.538808101E1,-5.288138241E-2,-7.812435031E-1,3.505236506E-1
2.548815572E1,-3.027937002E-2,4.160523713E-1,3.150934577E-1
2.558820774E1,-2.807341218E-1,-5.992056727E-1,6.524956971E-2
2.568829082E1,-7.792685926E-2,1.227045059E-2,3.450258374E-1
2.578835360E1,9.983493388E-2,-1.300611645E-1,1.697075367E-1
2.588841801E1,-6.075469851E-1,-3.463074267E-1,-9.719996452E-1
2.598848276E1,2.470534444E-1,-2.504016161E-1,-3.507496715E-1
2.608855457E1,4.486389756E-1,3.609419614E-2,-1.900921017E-1
2.618862085E1,2.183427960E-1,-2.320756465E-1,-3.880124390E-1
2.628899914E1,2.525512278E-1,-1.887042075E-1,2.931022942E-1
2.638906632E1,2.818727791E-1,2.676121294E-1,4.543707371E-1
2.648914024E1,1.492465939E-2,5.602165461E-1,8.052120358E-2
2.658920046E1,-2.935622931E-1,-1.888367720E-2,-1.290055662E-1
2.668927521E1,-5.452387929E-1,-3.279815018E-1,-1.143448129E-1
2.678933412E1,1.578671336E-1,-6.902245879E-1,2.876045108E-1
2.688940850E1,-3.314359486E-1,-4.049504995E-1,-5.370635390E-1
2.698946775E1,-7.670512050E-2,5.706012845E-1,-7.056623697E-1
2.708954290E1,9.012901187E-1,-1.642696112E-1,6.889429688E-1
2.718960545E1,-9.075503051E-2,1.796475202E-1,-7.036250830E-2
2.728967200E1,-1.561176181E-1,1.466607898E-1,1.501598358E-1
2.738973648E1,7.840040326E-1,-2.235235274E-1,7.103232145E-1
2.748980733E1,-2.722504176E-2,3.714592159E-1,5.730832368E-2
2.758987254E1,-1.848282814E-1,-1.465545148E-1,-1.904983260E-2
2.768994362E1,-4.084049761E-1,-2.499233000E-2,2.493246458E-2
2.779000657E1,-3.418206573E-1,-6.347683817E-2,1.238926351E-1
2.789007642E1,1.908538491E-1,-6.706768870E-1,9.151677787E-2
2.799013950E1,-4.884283245E-1,-6.150881052E-1,-8.015682101E-1
2.809020791E1,2.476643175E-1,2.443992496E-1,-1.599550620E-2
2.819027966E1,2.995878458E-1,-4.605392516E-1,3.981711566E-1
2.829034177E1,8.028724045E-2,-1.410567313E-1,-1.662683636E-1
2.839040915E1,-2.208693177E-1,2.828837633E-1,-2.420156449E-1
2.849047447E1,-1.451220363E-1,7.379783392E-1,2.796632648E-1
2.859053841E1,2.989769876E-1,9.920983315E-1,4.592576623E-1
2.869061699E1,-2.330866307E-1,-7.874847203E-2,1.690966636E-1
2.879067927E1,-5.470713377E-1,3.103726804E-1,-1.619922966E-1
2.889074382E1,-4.921618849E-2,-2.736144662E-1,2.173550129E-1
2.899081127E1,-7.303993404E-2,-8.485712111E-2,-3.696864843E-1
2.909088262E1,7.662204653E-2,-5.920078233E-2,-5.199593306E-1
2.919094503E1,7.644562721E-1,8.374168724E-2,3.169260621E-1
2.929101295E1,2.409447879E-1,-1.880933493E-1,-2.576934919E-2
2.939107993E1,-3.998528421E-1,1.349218097E-2,-3.238715827E-1
2.949115278E1,6.190703511E-1,2.236298174E-1,3.303650916E-1
2.959121540E1,-2.654624879E-1,-2.748362124E-1,-6.119953468E-2
2.969128698E1,-3.247164190E-1,9.412639588E-2,-2.499568909E-1
2.979134936E1,-4.310753942E-2,-4.232764542E-1,2.124680877E-1
2.989141504E1,-2.336974889E-1,4.220284522E-2,1.978073269E-1
2.999148399E1,3.576200604E-1,-5.943187475E-1,2.411787510E-1
