"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.842873741E2,5.238438071E1,5.208698495E0,-1.291304226E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.853039282E2,5.238437977E1,5.208695451E0,-3.837146871E-1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.873112184E2,5.238434407E1,5.208677959E0,4.334500544E-1,5.164821744E-1,0.000000000E0,2.400000000E1,0.000000000E0
1.883305236E2,5.238434407E1,5.208677959E0,4.970857998E-1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.893388898E2,5.238434407E1,5.208677959E0,5.034643757E-1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.903406754E2,5.238434407E1,5.208677959E0,5.099408328E-1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.913372551E2,5.238434407E1,5.208677959E0,5.165032750E-1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.923331215E2,5.238434407E1,5.208677959E0,5.231534962E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.933458175E2,5.238434407E1,5.208677959E0,5.298740382E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.943363307E2,5.238434407E1,5.208677959E0,5.366636234E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.953280107E2,5.238434407E1,5.208677959E0,5.435109223E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.963313541E2,5.238434407E1,5.208677959E0,5.504049559E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.973318534E2,5.238434407E1,5.208677959E0,6.198733759E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.983396728E2,5.238434407E1,5.208677959E0,6.885562348E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.993455278E2,5.238434407E1,5.208677959E0,7.563439739E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.003355618E2,5.238434407E1,5.208677959E0,7.630099290E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.013358706E2,5.238434407E1,5.208677959E0,7.696645817E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.023312271E2,5.238434407E1,5.208677959E0,7.763232638E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.033338324E2,5.238434407E1,5.208677959E0,7.829951727E-1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
2.043301568E2,5.238434407E1,5.208677959E0,7.896866777E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.053391859E2,5.238436419E1,5.208668259E0,8.318266409E-1,4.455225468E-1,0.000000000E0,1.600000000E1,0.000000000E0
2.063453282E2,5.238436297E1,5.208664142E0,8.743726761E-1,7.580243945E-1,0.000000000E0,1.600000000E1,0.000000000E0
2.073283545E2,5.238436297E1,5.208664142E0,8.787453895E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.083379879E2,5.238436297E1,5.208664142E0,9.235708072E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.093375476E2,5.238436297E1,5.208664142E0,9.280350454E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.103364210E2,5.238436297E1,5.208664142E0,9.733537553E-1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.113297797E2,5.238436297E1,5.208664142E0,9.779187339E-1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.123338640E2,5.238436297E1,5.208664142E0,9.825581745E-1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.133318454E2,5.238436297E1,5.208664142E0,1.030120031E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.143307832E2,5.238436297E1,5.208664142E0,1.077374999E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.153394932E2,5.238436297E1,5.208664142E0,1.082097872E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.163367442E2,5.238436297E1,5.208664142E0,1.129744601E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.173430743E2,5.238436297E1,5.208664142E0,1.177218254E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
