"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.871405520E1,1.012778282E0,9.794978142E0,-3.304099143E-1
1.881412078E1,9.098244309E-1,9.828497887E0,-3.471698463E-1
1.891418980E1,9.960182905E-1,9.809344292E0,-2.059076279E-1
1.901425601E1,9.457385540E-1,9.830892563E0,-3.064671755E-1
1.911441741E1,1.031932473E0,9.811738014E0,-3.016786277E-1
1.921447960E1,9.936240315E-1,9.804554939E0,-3.639297783E-1
1.931455174E1,9.601042271E-1,9.799766541E0,-2.513988614E-1
1.941461822E1,1.036720991E0,9.778218269E0,-3.064671755E-1
1.951468597E1,1.003201127E0,9.818921089E0,-3.591412306E-1
1.961475312E1,9.744698405E-1,9.845257759E0,-4.213923812E-1
1.971482023E1,1.003201127E0,9.821314812E0,-3.735068738E-1
1.981488738E1,9.864411950E-1,9.809344292E0,-2.705530524E-1
1.991495602E1,1.015172482E0,9.840469360E0,-3.040728867E-1
2.001502160E1,1.058269501E0,9.783006668E0,-2.633702159E-1
2.011508868E1,9.864411950E-1,9.787795067E0,-2.657645047E-1
2.021515216E1,1.058269501E0,9.809344292E0,-3.208328187E-1
2.031522314E1,1.029538155E0,9.797372818E0,-4.980091453E-1
2.041529005E1,1.070240855E0,9.802161217E0,-2.968900800E-1
2.051535807E1,1.027143836E0,9.797372818E0,-3.304099143E-1
2.061542518E1,1.051086664E0,9.792584419E0,-3.471698463E-1
2.071549202E1,1.041509509E0,9.811738014E0,-4.453351200E-1
2.081555861E1,1.055875182E0,9.799766541E0,-3.926610649E-1
2.091562592E1,1.087000728E0,9.806949615E0,-3.735068738E-1
2.101569290E1,1.115732074E0,9.814132690E0,-4.764606953E-1
2.111575971E1,1.125309110E0,9.787795067E0,-3.160442710E-1
2.121582133E1,1.110943556E0,9.785401344E0,-3.591412306E-1
2.131589357E1,1.132491946E0,9.816526413E0,-4.836435020E-1
2.141596182E1,1.149251938E0,9.799766541E0,-4.094209969E-1
2.151602990E1,1.118126392E0,9.809344292E0,-3.663240373E-1
2.161609589E1,1.127703428E0,9.794978142E0,-4.405465722E-1
2.171616273E1,1.142069101E0,9.797372818E0,-4.118152559E-1
2.181623582E1,1.122914910E0,9.799766541E0,-3.663240373E-1
2.191630296E1,1.197137356E0,9.792584419E0,-4.357580245E-1
2.201637071E1,1.134886265E0,9.766246796E0,-4.118152559E-1
2.211643109E1,1.206714511E0,9.787795067E0,-4.932205975E-1
2.221649284E1,1.163617611E0,9.773429871E0,-3.495641351E-1
2.231656549E1,1.187560320E0,9.806949615E0,-4.142095447E-1
2.241663220E1,1.170800328E0,9.850046158E0,-2.849186957E-1
2.251670045E1,1.206714511E0,9.821314812E0,-4.333637357E-1
2.261676653E1,1.185166001E0,9.794978142E0,-4.189980924E-1
2.271683995E1,1.154040456E0,9.766246796E0,-3.232271075E-1
2.281690126E1,1.206714511E0,9.787795067E0,-4.357580245E-1
2.291696794E1,1.209108829E0,9.811738014E0,-4.573064744E-1
2.301703582E1,1.201925993E0,9.737515450E0,-5.147690773E-1
2.311710264E1,1.137280583E0,9.780612946E0,-4.764606953E-1
2.321716369E1,1.256994247E0,9.775823593E0,-5.195576549E-1
2.331723694E1,1.225868702E0,9.797372818E0,-5.171633363E-1
2.341730265E1,1.154040456E0,9.773429871E0,-4.932205975E-1
