"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.628160434E1,2.741444588E0,6.859597206E0,2.205127001E0
2.638167145E1,3.294522047E0,7.992089272E0,1.984853864E0
2.648174066E1,5.308107376E0,6.766220570E0,4.266597748E0
2.658180531E1,5.765413761E0,5.446975231E0,6.014418125E0
2.668186839E1,7.383943558E0,4.616161823E0,9.304151535E0
2.678193521E1,8.226728439E0,3.335224867E0,1.201686573E1
2.688200178E1,6.459753513E0,5.073468208E0,6.718335152E0
2.698207650E1,2.779752970E0,6.761432171E0,4.843617916E0
2.708213788E1,3.124528646E0,7.620976925E0,2.609759569E0
2.718220460E1,1.532335877E0,1.007032013E1,1.843591571E0
2.728227715E1,-1.101366431E-1,1.234248638E1,-2.521171331E0
2.738234596E1,1.211503029E0,1.167448425E1,-6.033572555E-1
2.748240524E1,2.185972929E0,1.024989033E1,0.000000000E0
2.758246785E1,8.954587579E-1,8.039975166E0,4.857983589E0
2.768255610E1,6.287365437E0,6.565101624E0,3.847599506E0
2.778260904E1,6.495667458E0,4.759818554E0,8.528407097E0
2.788267915E1,1.122675419E1,2.025556564E0,1.296260357E1
2.798275030E1,1.236882401E1,3.308887720E0,3.957736254E0
2.808280868E1,4.041535854E0,5.387118340E0,7.314509392E0
2.818288523E1,4.168432236E0,7.161275864E0,2.624125242E0
2.828294248E1,1.458113313E0,9.536396980E0,1.407833576E0
2.838301013E1,-9.146129489E-1,1.196897984E1,-1.448536277E0
2.848308031E1,-1.278542757E0,1.349173832E1,-3.742251635E0
2.858314552E1,1.082212210E0,1.022594738E1,2.035133541E-1
2.868321377E1,2.497228622E0,8.145322800E0,2.360754967E0
2.878327892E1,3.873936653E0,6.292154312E0,4.834040642E0
2.888334813E1,7.048745155E0,4.458139896E0,7.984906673E0
2.898341508E1,9.909903526E0,2.590605259E0,1.317329979E1
2.908348676E1,8.454184532E0,2.990449190E0,8.751074791E0
2.918354701E1,4.084632874E0,6.476513386E0,3.955342054E0
2.928362419E1,2.353572130E0,8.420664787E0,1.901054144E0
2.938368167E1,2.106961727E0,1.003680038E1,2.849186957E-1
2.948375022E1,1.307274103E0,1.083409309E1,3.878725171E-1
2.958380870E1,-4.357580245E-1,1.362102985E1,-2.401457548E0
2.968388328E1,4.237866402E0,8.942616463E0,-9.265843630E-1
2.978395059E1,7.230709791E-1,8.090254784E0,4.506025314E0
2.988401577E1,4.252232075E0,6.553130150E0,3.809291124E0
2.998408341E1,6.457359314E0,5.514014721E0,5.487678051E0
3.008415466E1,6.495667458E0,4.450956821E0,1.332174492E1
3.018422477E1,1.123393726E1,4.149278164E0,7.628159523E0
3.028428639E1,6.854808807E0,4.156461239E0,7.558725357E0
3.038435277E1,2.935380936E0,6.694392204E0,4.393494129E0
3.048442644E1,1.022355318E0,9.344854355E0,1.115732074E0
3.058448489E1,-5.698373914E-1,1.111182976E1,-4.142095447E-1
3.068455311E1,-2.387091875E0,1.401847935E1,-5.353598595E0
3.078462102E1,-5.937801600E-1,1.000088596E1,2.085413456E0
3.088468826E1,1.699935079E0,8.889942169E0,8.140534163E-1
3.098475501E1,3.531555414E0,6.593832970E0,4.431802750E0
3.108482229E1,6.184412003E0,5.482889175E0,5.894704342E0
3.118488711E1,6.002447128E0,4.010410309E0,9.574705124E0
3.128495599E1,7.290566921E0,5.284164429E0,1.144463348E1
3.138502727E1,9.208380699E0,4.683201313E0,5.753442287E0
3.148509001E1,3.517189741E0,6.282577038E0,4.427014351E0
3.158515519E1,1.256994247E0,8.971347809E0,2.092596292E0
3.168522758E1,-8.739103079E-1,1.170560932E1,7.182824612E-2
3.178529212E1,-9.529213905E-1,1.417171288E1,-2.449343204E0
3.188535934E1,-6.895511150E-1,1.136801720E1,1.053480864E0
3.198543015E1,2.200338602E0,9.148524284E0,1.075029373E0
3.208549593E1,1.948939681E0,6.052726746E0,4.450956821E0
3.218556621E1,6.215537548E0,4.460534096E0,4.743058205E0
3.228562949E1,7.944203854E0,3.811685562E0,1.043424988E1
3.238569484E1,1.209348202E1,1.822043180E0,1.054438591E1
3.248576132E1,8.281796455E0,4.008016109E0,5.961744308E0
3.258583840E1,4.027170181E0,6.921848297E0,4.494053841E0
3.268589948E1,4.017592907E0,7.659285069E0,9.002473354E-1
3.278596412E1,1.525153041E0,8.739103317E0,3.976890564E0
3.288602897E1,6.919454336E-1,1.025467873E1,1.027143836E0
3.298611579E1,-6.608198285E-1,1.279979324E1,-1.182771802E0
3.308617290E1,-6.153286099E-1,1.138717079E1,3.016786277E-1
3.318623715E1,3.974496126E0,7.838855743E0,8.260248303E-1
3.328629911E1,6.493273258E0,5.071074009E0,3.835628271E0
3.338636582E1,7.280989647E0,2.602576733E0,1.179659176E1
3.348643624E1,1.373595428E1,-1.007989645E0,9.993702888E0
3.358837635E1,9.656110764E0,2.363149166E0,7.585062504E0
3.368844959E1,3.689577579E0,5.767807961E0,5.348809719E0
3.378852904E1,3.433390141E0,7.771816254E0,1.010383964E0
3.388858748E1,4.884320498E-1,1.023552513E1,8.906702399E-1
3.398865240E1,-8.044763207E-1,1.311583710E1,-1.247417212E0
3.408873071E1,-6.416656375E-1,1.298654652E1,-2.672010660E0
3.418878979E1,8.739103079E-1,1.036002731E1,3.280156553E-1
3.428885600E1,2.353572130E0,7.695199013E0,1.426987767E0
3.438892022E1,5.375146866E0,6.014418125E0,3.179596901E0
3.448898573E1,7.695199013E0,3.828445435E0,7.661679268E0
3.458908598E1,1.069283104E1,2.432583094E0,1.067367744E1
3.468913339E1,1.056832886E1,2.341600657E0,9.158101082E0
3.478919081E1,8.310527802E0,2.727078915E0,7.328875065E0
3.488925762E1,2.250618219E0,7.216344357E0,2.272166729E0
3.498932697E1,3.232271075E-1,9.079090118E0,5.027977005E-2
3.508939965E1,-1.601769805E0,1.232572651E1,1.987248063E-1
3.518946342E1,-3.292127848E0,1.465056801E1,-1.946545362E0
3.528952734E1,1.960911036E0,1.083888245E1,-1.333611012E0
3.538959668E1,2.485257149E0,7.000859737E0,1.438959122E0
3.548966536E1,4.431802750E0,6.548341751E0,2.751021862E0
3.558972558E1,6.960156918E0,6.668055534E0,5.480494976E0
3.568979437E1,1.105676079E1,3.069460392E0,1.239755535E1
3.578986295E1,1.037918091E1,2.056682110E0,5.449369431E0
3.588993043E1,9.129369736E0,3.129317284E0,7.249864101E0
3.599000074E1,2.990449190E0,6.656084061E0,4.063084126E0
3.609006606E1,1.204320192E0,9.481328011E0,-9.098244458E-2
3.619012710E1,-1.340793967E-1,1.168645573E1,-2.178790092E0
3.629019342E1,-3.055094719E0,1.511984539E1,-2.092596292E0
3.639026787E1,1.577827096E0,1.106873226E1,-1.048692346E0
3.649033051E1,2.667222023E0,8.018425941E0,1.778946161E0
3.659039353E1,4.043930054E0,5.913858891E0,3.969707727E0
3.669046238E1,6.103006363E0,5.746259689E0,5.016005516E0
3.679053109E1,6.747066498E0,3.593806505E0,1.275909042E1
3.689059827E1,1.189715195E1,2.370332003E0,6.184412003E0
3.699067621E1,7.211555958E0,3.557892323E0,7.661679268E0
3.709074102E1,4.520390987E0,5.746259689E0,4.180403709E0
3.719080094E1,2.291321039E0,8.672063828E0,1.209108829E0
3.729087328E1,5.985686779E-1,1.151646137E1,-1.845985889E0
3.739093313E1,-1.848380208E0,1.501928616E1,-4.364762783E0
3.749100291E1,5.315290093E-1,9.598648071E0,-3.663240373E-1
3.759106720E1,1.142069101E0,9.009655952E0,2.425400496E0
3.769113744E1,4.936994553E0,6.780586243E0,1.984853864E0
3.779120149E1,7.762238979E0,5.238673210E0,4.613767624E0
3.789127594E1,7.740690231E0,3.038334846E0,9.122186661E0
3.799133945E1,1.349652672E1,1.661626697E0,7.048745155E0
3.809140483E1,9.122186661E0,2.600182533E0,7.446194649E0
3.819146915E1,4.154066563E0,6.213143349E0,3.747040033E0
3.829153790E1,2.250618219E0,8.715160370E0,1.177983165E0
3.839161181E1,1.917814136E0,1.062339687E1,-6.775797606E-1
3.849167042E1,-1.225868702E0,1.401368999E1,-3.234665155E0
3.859174580E1,2.039922237E0,9.797372818E0,9.337671995E-1
3.869180586E1,2.796513081E0,9.153312683E0,8.451790214E-1
3.879187157E1,4.886714935E0,8.006455421E0,2.226675510E0
3.889193845E1,5.602602959E0,5.703162670E0,4.343214512E0
3.899200709E1,8.763046265E0,2.842004299E0,9.332882881E0
3.909207434E1,1.057072353E1,2.480468750E0,9.806949615E0
3.919214052E1,1.197616291E1,1.508393168E0,6.517216206E0
3.929221403E1,3.725491524E0,5.933012962E0,5.655277252E0
3.939227452E1,2.197944164E0,8.679245949E0,1.436564922E0
3.949234250E1,1.549095750E0,1.126266861E1,-1.671203852E0
3.959240465E1,1.707117915E0,1.322836876E1,-2.054287672E0
3.969247769E1,2.011190891E0,1.108788681E1,-1.125309169E-1
3.979254567E1,2.585816860E0,9.088666916E0,9.529213905E-1
3.989261065E1,3.938581944E0,7.118178844E0,3.193962574E0
3.999267790E1,6.557918549E0,5.739076614E0,4.652075768E0
4.009274511E1,8.715160370E0,3.335224867E0,9.246688843E0
4.019281766E1,9.737515450E0,2.066259146E0,1.111901188E1
4.029287927E1,9.921875000E0,3.249030828E0,5.087833881E0
4.039294768E1,4.216318130E0,6.258634567E0,5.068679810E0
4.049301370E1,3.672817469E0,8.310527802E0,4.070267081E-2
4.059308084E1,2.530748367E0,1.110225201E1,-1.532335877E0
4.069315029E1,-1.053480864E0,1.464817333E1,-2.030344963E0
4.079322717E1,1.865140080E0,1.063057995E1,-1.867534369E-1
4.089354944E1,2.420611858E0,9.062330246E0,2.207521439E0
4.099360938E1,4.580247879E0,6.478907585E0,2.317657948E0
4.109367996E1,7.295355320E0,4.307300568E0,4.822069645E0
4.119374698E1,7.659285069E0,3.320859194E0,1.075747681E1
4.129381146E1,1.283570766E1,2.071047783E0,6.826077461E0
4.139387777E1,9.926663399E0,2.569056988E0,5.803721905E0
4.149394268E1,4.314483166E0,6.045543671E0,3.955342054E0
4.159400710E1,2.973689318E0,9.313729286E0,2.968900800E-1
4.169408068E1,1.709512234E0,1.072156239E1,6.943397224E-2
4.179414793E1,1.364736706E-1,1.387003422E1,-5.221913338E0
4.189421364E1,2.420611858E0,9.921875000E0,-1.625712633E0
4.199428908E1,2.516382933E0,8.554743767E0,1.793311834E0
4.209434930E1,5.020794392E0,7.259441376E0,2.679193497E0
4.219441801E1,6.861991405E0,5.039948463E0,3.770982742E0
4.229448126E1,8.535589218E0,3.229876757E0,8.262641907E0
4.239455107E1,1.313978004E1,6.560313106E-1,1.018763924E1
4.249461538E1,1.080775642E1,2.300898075E0,5.645699978E0
4.259468520E1,5.245856285E0,5.475706577E0,4.886714935E0
4.269475498E1,3.624932051E0,7.613793850E0,1.697540879E0
4.279482425E1,1.568249941E0,1.015411949E1,-2.633702382E-2
4.289488430E1,1.237840056E0,1.183968925E1,-1.992036581E0
4.299495392E1,2.825244367E-1,1.260346222E1,-1.836408734E0
4.309501800E1,2.786935806E0,1.044143200E1,-1.134886265E0
4.319508654E1,4.807703972E0,7.580274105E0,1.546701550E0
4.329515732E1,4.805309772E0,6.711152077E0,2.042316437E0
4.339522287E1,7.400703430E0,3.902667999E0,7.956175327E0
4.349528575E1,1.158110714E1,9.170072675E-1,1.255797100E1
4.359536047E1,1.160744381E1,1.702329397E0,6.356799603E0
4.369542565E1,6.083852291E0,4.881926537E0,6.155680656E0
4.379549093E1,4.261809349E0,7.326480865E0,1.470084786E0
4.389556991E1,1.975276709E0,1.077663136E1,-1.127703428E0
4.399562332E1,8.834874034E-1,1.198095131E1,-1.879505754E0
4.409569257E1,-4.884320498E-1,1.286683273E1,-1.783734679E0
4.419576845E1,2.518777132E0,9.543579102E0,-5.027977228E-1
4.429582446E1,4.211529255E0,6.687209606E0,2.925803900E0
4.439589077E1,6.584255695E0,5.779779434E0,2.988054991E0
4.449596202E1,6.560312748E0,5.573871613E0,6.632141113E0
4.459602083E1,1.038875866E1,3.442967176E0,9.878777504E0
4.469609385E1,1.077902508E1,1.903448462E0,5.849213123E0
4.479616496E1,8.126168251E0,3.830839634E0,5.032765865E0
4.489624541E1,3.162837029E0,7.340846539E0,4.209135056E0
4.499629452E1,3.454938650E0,8.964164734E0,-2.633702382E-2
4.509635997E1,2.015979290E0,1.082691097E1,-1.625712633E0
4.519643312E1,-1.221080184E0,1.406875896E1,-1.280937076E0
4.529649936E1,4.443774223E0,1.052523232E1,-2.851581335E0
4.539656301E1,3.598595142E0,8.585869789E0,1.711906433E0
4.549663159E1,5.279376030E0,6.409473896E0,1.853168726E0
4.559670500E1,7.642525196E0,4.568276405E0,5.044736862E0
4.569676242E1,1.110464668E1,6.512427330E-1,1.153801060E1
4.579684010E1,1.188278580E1,2.365543604E0,3.589017868E0
4.589689688E1,7.740690231E0,3.833234072E0,5.782173634E0
4.599697366E1,4.774183750E0,6.646506786E0,3.620143414E0
4.609703301E1,3.919427872E0,8.705583572E0,6.751855016E-1
4.619710053E1,2.660039425E0,1.117886925E1,-2.162030220E0
4.629717178E1,-2.322446555E-1,1.417171288E1,-2.868341208E0
4.639723329E1,2.885101080E0,7.972935200E0,3.615354896E-1
4.649730525E1,4.774183750E0,7.893924236E0,1.364736676E0
4.659736329E1,5.396695614E0,6.885934353E0,2.885101080E0
4.669744124E1,6.751854897E0,4.659258842E0,4.697566986E0
4.679750176E1,9.249083519E0,2.865947008E0,8.715160370E0
4.689758204E1,1.240713215E1,1.297696948E0,5.652883053E0
4.699764378E1,7.257047176E0,2.264983892E0,7.020013809E0
4.709771783E1,5.200365067E0,6.100612164E0,3.340013266E0
4.719777821E1,3.598595142E0,8.430241585E0,1.290514112E0
4.729783602E1,2.434977531E0,1.096338463E1,-4.142095447E-1
4.739790920E1,-1.436564922E0,1.465535641E1,-2.351177931E0
4.749797898E1,1.573038578E0,1.046776962E1,8.882759809E-1
